"","pi","xi1","xi2","eta1","eta2","npv1","npv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"28",0.3,0.7,0.95,0.238775510204082,0.039795918367347,0.65,0.65,0.0764,0.0026,0.0039,0.0152,0.1031,0.0088,0.0513,0.0364,0.0023,0,0,0,0,0.508884849876797,0.0239722929803455,0,0.16325800726606,0.00388484987679736,0.0073,0.0447,0.0413,0.0425
"29",0.3,0.7,0.95,0.385714285714286,0.0642857142857143,0.75,0.75,0.0985,0.0255,0.00178,0.0595,0.017,0.00772,0.0087,0.0758,0.0055,0,0,0,0,0.413371879266342,0.0166281207336579,0,0.241628120733658,0.0283718792663422,0.0282,0.0599,0.0538,0.0495
"30",0.3,0.7,0.95,0.728571428571429,0.121428571428572,0.85,0.85,0.033,0.0796,0.000288,1e-04,0.097,1.2e-05,0.041,0.0343,0.0147,0,0,0,0,0.16607635801658,0.0239236419834197,0,0.448923641983419,0.0610763580165804,0.1124,0.0706,0.0595,0.0555
"31",0.5,0.5,0.6,0.928571428571429,0.742857142857143,0.65,0.65,0.0079,0.0081,0.0072,0.0075,0.0665,0.1528,0.025,0.185,0.04,0,0,0,0,0.0340385874068098,0.00167569830747588,0,0.0945328411646188,0.369752873121096,0.0435,0.0475,0.0479,0.045
"34",0.5,0.75,0.85,0.464285714285714,0.278571428571429,0.65,0.65,0.10775,0.11905,0.0384,0.03675,0.07145,0.0016,0.05125,0.03875,0.035,0,0,0,0,0.200578345921323,0.0672787969358199,0,0.160135939792963,0.0720069173498944,0.0245,0.0363,0.0459,0.0482
"35",0.5,0.75,0.85,0.75,0.45,0.75,0.75,3e-04,0.0643,0.0067,0.0201,0.2803,0.0033,0.02875,0.03125,0.065,0,0,0,0,0.0990437318687327,0.0259562681312673,0,0.175956268131267,0.199043731868733,0.0297,0.0404,0.0459,0.0436
"37",0.5,0.85,0.95,0.278571428571429,0.0928571428571429,0.65,0.65,0.138,0.028,0.00303,0.036,0.216,0.00397,0.05,0.007,0.018,0,0,0,0,0.349895596839321,0.0108186888749645,0,0.103675831732107,0.035609882553607,0.0053,0.0301,0.0366,0.0387
"38",0.5,0.85,0.95,0.45,0.15,0.75,0.75,0.06375,0.1765,0.01775,0.013,0.1525,0.0015,0.05475,0.0145,0.00575,0,0,0,0,0.251105114439269,0.0238948855607305,0,0.17389488556073,0.0511051144392696,0.0352,0.0382,0.0448,0.0447
"39",0.5,0.85,0.95,0.85,0.283333333333334,0.85,0.85,0.041,0.1205,0.01121,0.039,0.213,0.00029,0.004,0.0575,0.0135,0,0,0,0,0.0137569622544106,0.0612430377455895,0,0.344576371078923,0.0804236289210773,0.0629,0.0475,0.0514,0.0472
"40",0.5,0.5,0.7,0.928571428571429,0.557142857142857,0.65,0.65,0.083925,0.0098,0.13095,0.005975,0.0028,0.01655,0.08,0.1675,0.0025,0,0,0,0,0.00309235964336299,0.0326219260709227,0,0.218336211785208,0.245949502500506,0.0382,0.0423,0.0456,0.0485
"43",0.5,0.7,0.95,0.557142857142857,0.0928571428571429,0.65,0.65,0.013,0.043,0.000895,0.1465,0.143,0.003605,0.1235,0.006,0.0205,0,0,0,0,0.192398546015777,0.0290300254127942,0,0.261172882555651,0.0173985460157772,0.0326,0.0387,0.0458,0.0482
"44",0.5,0.7,0.95,0.9,0.15,0.75,0.75,0.1035,0.0275,0.001355,0.152,0.0655,0.000145,0.099,0.0275,0.0235,0,0,0,0,0.00337853734381496,0.046621462656185,0,0.421621462656185,0.0283785373438151,0.0705,0.0507,0.0519,0.0505
