"","pi","xi1","xi2","eta1","eta2","npv1","npv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"89",0.3,0.95,0.85,0.039795918367347,0.364285714285714,0.65,0.85,0.0198254279721226,0.0156302862169294,0.016,0.0280803843291156,0.177413898098653,0.02805,0.0042,0.00985,0.00095,0,0,0,0,0.443332427838385,0.228810429304472,0,0.00166757216161516,0.0261895706955277,0.006,0.0794,0.2163,0.3721
"91",0.3,0.7,0.5,0.238775510204082,0.642857142857143,0.65,0.75,0.0222,0.032025,0.054225,0.02,0.003275,0.078275,0.0227,0.0498,0.0175,0,0,0,0,0.177785399089833,0.355071743767309,0,0.0722146009101666,0.0949282562326906,0.1106,0.261,0.4433,0.5973
"96",0.3,0.95,0.7,0.039795918367347,0.385714285714286,0.65,0.75,0.0097,0.1085,0.0113,0.0281,0.0536,0.0738,1e-04,0.01,0.0049,0,0,0,0,0.421168083274304,0.250974773868553,0,0.00883191672569541,0.0190252261314475,0.0073,0.0558,0.0704,0.1067
"97",0.3,0.95,0.7,0.0642857142857143,0.728571428571429,0.75,0.85,0.0024,0.0404,0.060656,0.0404,0.117,0.024144,0.00185,0.00795,0.0052,0,0,0,0,0.174303455929039,0.480696544070961,0,0.015696544070961,0.0293034559290391,0.035,0.0737,0.1043,0.1585
"99",0.3,0.95,0.7,0.039795918367347,0.728571428571429,0.65,0.85,0.0835,0.075,0.0205,0.01,0.027,0.069,0.0035,0.011,5e-04,0,0,0,0,0.187044027161984,0.485098829980873,0,0.00295597283801596,0.0249011700191269,0.0135,0.1027,0.2239,0.3786
"106",0.5,0.75,0.85,0.464285714285714,0.45,0.65,0.75,0.0967,0.00035,0.0103,0.2409,0.00705,0.0197,0.01125,0.06875,0.045,0,0,0,0,0.0972963653205494,0.170560777536593,0,0.177703634679451,0.0544392224634066,0.1365,0.3146,0.5431,0.7062
"107",0.5,0.75,0.85,0.75,0.85,0.75,0.85,0.1348,0.122,0.01795,4e-04,0.0628,0.03705,0.04375,0.06125,0.02,0,0,0,0,0.0489819584763609,0.0760180415236391,0,0.0260180415236391,0.348981958476361,0.2819,0.5645,0.812,0.9317
"109",0.5,0.75,0.85,0.464285714285714,0.85,0.65,0.85,0.135,0.07625,0.0020375,0.09875,0.05375,0.0092125,0.05125,0.01,0.06375,0,0,0,0,0.0116124406107701,0.256244702246373,0,0.0633875593892299,0.168755297753627,0.8917,0.9985,1,1
"111",0.5,0.85,0.95,0.278571428571429,0.15,0.65,0.75,0.01925,0.02225,0.0073325,0.0445,0.32325,0.0084175,0.06325,0.0025,0.00925,0,0,0,0,0.311297000349233,0.0494172853650526,0,0.113702999650767,0.0255827146349475,0.0366,0.1149,0.2067,0.29
"112",0.5,0.85,0.95,0.45,0.283333333333334,0.75,0.85,0.02075,0.1785,0.00025,0.14275,0.08025,0.0025,0.022,0.03075,0.02225,0,0,0,0,0.273769328799487,0.00123067120051323,0,0.0845640045338465,0.140435995466154,0.1064,0.367,0.6429,0.8089
