,pi,xi1,xi2,eta1,eta2,ppv1,ppv2,p11,p12,p13,p14,p15,p16,p17,p18,p19,p01,p02,p03,p04,p05,p06,p07,p08,p09,N100,N200,N350,N500
20,0.3,0.5,0.5,0.9976669441,0.9976669441,0.75,0.95,0.0068298187,0.0012270691,0.1056679665,0.023316706,0.0043154392,0.0086430004,0.1139049575,0.0004060095,0.035689033,0,0,0,0,0.0012708603,0.0003622788,0,0.0003622788,0.698004582,0.0829,0.1702,0.2463,0.3336
21,0.3,0.75,0.75,0.9768662882,0.9768662882,0.65,0.75,0.1164737749,0.0098497907,0.0304522696,0.0297501109,0.0147271921,0.0237468579,0.0346713128,0.0195278186,0.0208008725,0,0,0,0,0.0141239443,0.0020696539,0,0.0020696539,0.6817367478,0.048,0.1587,0.2687,0.3781
22,0.3,0.75,0.75,0.9869674064,0.9869674064,0.75,0.85,0.1295821391,0.0156886408,0.0303213154,0.03512669,0.0059138216,0.0083673767,0.0342955641,0.0043931444,0.0363113079,0,0,0,0,0.0048921776,0.004230638,0,0.004230638,0.6866465465,0.0441,0.1358,0.2281,0.3292
23,0.3,0.75,0.75,0.9903708624,0.9903708624,0.85,0.95,0.1301242101,0.0016339633,0.0652211634,0.0222625056,0.0021326509,0.0036255065,0.0677666608,0.0010800093,0.0061533301,0,0,0,0,0.0013258309,0.0054145655,0,0.0054145655,0.6878450382,0.0546,0.124,0.2013,0.2674
24,0.3,0.75,0.75,0.9922316,0.9922316,0.65,0.85,0.1258995589,0.022904898,0.0009801646,0.0071236064,0.0038756565,0.064216115,0.0628490324,0.0023472476,0.0098037201,0,0,0,0,0.0036037236,0.001834156,0,0.001834156,0.69272796,0.2557,0.5778,0.8322,0.9365
25,0.3,0.75,0.75,0.9938037346,0.9938037346,0.75,0.95,0.1573234927,0.0028762143,0.0118033321,0.0091432442,0.0006772773,0.0431764307,0.0514037796,0.0035759919,0.0200202372,0,0,0,0,0.0003211011,0.0040162847,0,0.0040162847,0.6916463295,0.2913,0.6746,0.9085,0.9787
26,0.3,0.85,0.85,0.9546423152,0.9546423152,0.65,0.75,0.1651216973,0.0203241957,0.000941853,0.0366345855,0.0158335921,0.0161440546,0.0133065016,0.0037794277,0.0279140924,0,0,0,0,0.006690338,0.0250600413,0,0.0250600413,0.6431895794,0.0691,0.2538,0.4917,0.6631
27,0.3,0.85,0.85,0.974803238,0.974803238,0.75,0.85,0.1697419397,0.001707269,0.0330290892,0.0292117876,0.0141540333,0.0071558791,0.0327883461,0.0073966243,0.0048150317,0,0,0,0,0.0019377307,0.0157000027,0,0.0157000027,0.6666622639,0.0683,0.2019,0.3618,0.4924
28,0.3,0.85,0.85,0.9939911311,0.9939911311,0.85,0.95,0.1993789383,0.003436799,0.0175095396,0.0101232491,0.004539892,0.0200115819,0.0367437104,0.0007774111,0.0074788784,0,0,0,0,0.0028866514,0.0013195568,0,0.0013195568,0.694474235,0.0923,0.2681,0.4608,0.6135
29,0.3,0.85,0.85,0.9882284869,0.9882284869,0.65,0.85,0.1546169457,0.0096397768,0.0068493151,0.0527921708,0.01405206,0.0170497307,0.0163449337,0.007554113,0.0211009542,0,0,0,0,0.0064013289,0.0018387302,0,0.0018387302,0.6899212106,0.2208,0.6863,0.9297,0.9868
